address,cars,bluecarcounter,utilibcounter,utilib1.4counter,chargeslots,chargingstatus,city,id,slots,stationtype,year,month,day,hour,minute
8 rue des Chantiers,5,5,0,0,0,,Versailles,versailles-chantiers-8,1,full_station,2018,4,4,2,58
79 rue AndrÃ© Joineau,6,6,0,0,0,,Le PrÃ©-Saint-Gervais,lepresaintgervais-andrejoineau-79,1,station,2018,4,4,9,3
118 avenue du GÃ©nÃ©ral De Gaulle,5,5,0,0,0,,Clamart,clamart-generaldegaulle-118,0,station,2018,4,1,12,15
1 rue de Sevran,0,0,0,0,0,,Aulnay-sous-bois,aulnaysousbois-sevran-1,0,station,2018,4,4,19,19
9 avenue Arblade,1,1,0,0,0,,Malakoff,malakoff-arblade-9,4,station,2018,4,1,19,49
12 rue Armengaud,5,5,0,0,0,,Saint-Cloud,saintcloud-armengaud-12,0,station,2018,4,2,12,2
330 rue des PyrÃ©nÃ©es,5,5,0,0,0,,Paris,paris-pyrenees-330,0,full_station,2018,4,3,4,9
1 rue Maryse BastiÃ©,3,3,0,0,0,,Aulnay-sous-bois,aulnaysousbois-marysebastie-1,2,station,2018,4,2,17,12
94 Rue Paul Vaillant Couturier,4,4,0,0,0,,Nanterre,nanterre-paulvaillantcouturier-94,2,station,2018,4,6,14,50
2 avenue de la Porte Saint-Cloud,6,6,0,0,0,,Paris,paris-portesaintcloud-parking,0,station,2018,4,4,18,20
1 avenue Ãmile Laurent,5,5,0,0,0,,Paris,paris-emilelaurent-1,0,station,2018,4,6,21,6
16 rue Raoul Nordling,4,4,0,0,0,,Bois-Colombes,boiscolombes-raoulnordling-16,2,station,2018,4,3,15,48
31 Rue Camille Desmoulins,4,4,0,0,0,,Issy-les-Moulineaux,issylesmoulineaux-camillesdesmoulins-31,0,station,2018,4,3,8,28
12 rue Chernoviz,2,2,0,0,0,,Paris,paris-chernoviz-12,2,station,2018,4,9,10,59
38 rue du Four,1,1,0,0,0,,Paris,paris-four-38,2,station,2018,4,5,22,48
42 rue Charles Moureu,6,6,0,0,0,,Paris,paris-charlesmoureu-42,0,station,2018,4,2,8,48
1bis Avenue Joseph Franceschi,5,5,0,0,0,,Alfortville,alfortville-josephfranceschi-1,0,station,2018,4,1,23,0
16 Rue Sofia,4,4,0,0,0,,Paris,paris-sofia-16,0,station,2018,4,9,20,10
9 rue Philibert Delorme,0,0,0,0,0,,Guyancourt,guyancourt-philibertdelorme-9,0,station,2018,4,5,16,46
10 avenue de la Porte d'Aubervilliers,5,5,0,0,0,,Paris,paris-portedaubervilliers-10,1,station,2018,4,3,11,48
49 avenue de Stalingrad,0,0,0,0,0,,Bagnolet,bagnolet-stalingrad-49,0,station,2018,4,1,4,55
76 Boulevard de la Tour-Maubourg,0,0,0,0,0,,Paris,paris-tourmaubourg-76,4,station,2018,4,9,4,9
17 Place de la RÃ©publique,0,0,0,0,0,,Paris,paris-republique-17,3,station,2018,4,3,8,25
21 Rue Charles Drot,5,5,0,0,0,,Rueil-Malmaison,rueilmalmaison-charlesdrot-21,0,station,2018,4,1,10,35
116 rue de Reuilly,3,3,0,0,0,,Paris,paris-reuilly-116,1,station,2018,4,4,4,36
6 Rue Pablo Neruda,0,0,0,0,0,,Nanterre,nanterre-pabloneruda-6,6,station,2018,4,3,21,53
58 avenue de la RÃ©publique,6,6,0,0,0,,Bagnolet,bagnolet-republique-58,0,station,2018,4,4,7,13
8 rue de Lyon,0,0,0,0,0,,Paris,paris-lyon-8,4,station,2018,4,9,8,31
3 Rue Yves Toudic,0,0,0,0,0,,Paris,paris-yvestoudic-3,0,station,2018,4,7,3,48
236 Rue des PyrÃ©nÃ©es,3,3,0,0,0,,Paris,paris-pyrenees-236,0,station,2018,4,8,19,9
2 Rue Fernand Pelloutier,3,3,0,0,0,,Puteaux,puteaux-fernandpelloutier-2,2,station,2018,4,2,22,16
31 boulevard de Grenelle,0,0,0,0,0,,Paris,paris-grenelle31-parking,0,station,2018,4,5,0,29
20 Rue Villiot,0,0,0,0,0,,Paris,paris-villiot-20,0,full_station,2018,4,6,15,28
63 avenue du 18 juin 1940,0,0,0,0,0,,Rueil-Malmaison,rueilmalmaison-18juin1940-63,5,station,2018,4,3,10,33
6 Rue Marcel Paul,6,6,0,0,0,,Villejuif,villejuif-marcelpaul-6,0,station,2018,4,4,6,32
6 place Adolphe Max,0,0,0,0,0,,Paris,paris-adolphemax-6,3,station,2018,4,7,16,47
31 rue du Professeur Victor Pauchet,1,1,0,0,0,,Vaucresson,vaucresson-victorpauchet-31,0,station,2018,4,6,19,26
64 rue du Faubourg PoissonniÃ¨re,4,4,0,0,0,,Paris,paris-faubourgpoissoniere-64,0,station,2018,4,3,4,38
70 avenue du GÃ©nÃ©ral de Gaulle,2,2,0,0,0,,CrÃ©teil,creteil-generaldegaulle-70,4,station,2018,4,6,17,15
10 rue Anatole de la Forge,0,0,0,0,0,,Paris,paris-anatoledelaforge-10,0,station,2018,4,3,13,42
8 avenue Ãdouard Belin,0,0,0,0,0,,Rueil-Malmaison,rueilmalmaison-edouardbelin-8,2,station,2018,4,2,20,14
18 rue Madame,0,0,0,0,0,,Paris,paris-madame-18,1,station,2018,4,9,16,18
214 boulevard de Stalingrad,5,5,0,0,0,,Champigny-sur-Marne,champignysurmarne-stalingrad-214,1,station,2018,4,7,23,8
20 Avenue Lombard,6,6,0,0,0,,Fontenay-aux-Roses,fontenayauxroses-lombard-20,0,station,2018,4,3,19,22
16 Rue Molitor,3,3,0,0,0,,Paris,paris-molitor-16,1,station,2018,4,6,17,3
19 avenue du GÃ©nÃ©ral de Gaulle,6,6,0,0,0,,Meudon,meudon-generaldegaulle-19,0,station,2018,4,3,15,17
9 place Saint-Augustin,2,2,0,0,0,,Paris,paris-saintaugustin-9,0,station,2018,4,9,14,27
2 avenue Gabriel,0,0,0,0,0,,Paris,paris-concorde-parking,0,station,2018,4,2,0,21
36 avenue de la RÃ©publique,0,0,0,0,0,,Paris,paris-republique-36,4,station,2018,4,9,17,20
17 rue Caulaincourt,1,1,0,0,0,,Paris,paris-caulaincourt-17,1,station,2018,4,9,3,1
6 rue de Paris,4,4,0,0,0,,Meudon,meudon-paris-6,0,station,2018,4,1,17,28
59 boulevard Gallieni,3,3,0,0,0,,Issy-les-Moulineaux,issylesmoulineaux-gallieni-59,0,station,2018,4,1,11,13
5 rue Emile Zola,0,0,0,0,0,,Limeil-BrÃ©vannes,limeilbrevannes-emilezola-5,0,station,2018,4,6,11,38
44 avenue de la Marne,4,4,0,0,0,,AsniÃ¨res-sur-Seine,asnieressurseine-marne-44,1,station,2018,4,3,7,29
37 rue Leblanc,0,0,0,0,0,,Paris,paris-citroencevennes-parking,0,station,2018,4,1,5,7
17 Rue Ãmile Zola,5,5,0,0,0,,AsniÃ¨res-sur-Seine,asnieressurseine-emilezola-17,0,station,2018,4,6,1,59
2 avenue FranÃ§ois Mauriac,5,5,0,0,0,,CrÃ©teil,creteil-francoismauriac-2,1,station,2018,4,3,11,1
24 boulevard Paul Vaillant Couturier,3,3,0,0,0,,Drancy,drancy-couturier-24,3,full_station,2018,4,3,10,8
12 rue Armengaud,4,4,0,0,0,,Saint-Cloud,saintcloud-armengaud-12,3,station,2018,4,2,15,43
126 Avenue Philippe Auguste,6,6,0,0,0,,Paris,paris-philippeauguste-126,0,station,2018,4,6,7,55
56 Rue Lacordaire,5,5,0,0,0,,Paris,paris-lacordaire-56,0,station,2018,4,9,14,21
7 rue Pottier,3,3,0,0,0,,Le Chesnay,lechesnay-pottier-7,4,station,2018,4,9,13,4
17 rue Charles VII,2,2,0,0,0,,Nogent-sur-Marne,nogentsurmarne-charlesvii-17,2,station,2018,4,3,19,34
80 rue de SÃ¨vres,1,1,0,0,0,,Boulogne-Billancourt,boulognebillancourt-sevres-80,0,station,2018,4,3,17,35
61 Boulevard Ãmile Zola,3,3,0,0,0,,Nanterre,nanterre-emilezola-61,3,station,2018,4,1,2,29
7 boulevard d'AlgÃ©rie,3,3,0,0,0,,Paris,paris-algerie-7,0,station,2018,4,5,6,13
68 rue Paul Vaillant Couturier,6,6,0,0,0,,Clamart,clamart-paulvaillantcouturier-68,0,station,2018,4,4,12,40
5 rue FrÃ©dÃ©rick LemaÃ®tre,6,6,0,0,0,,Paris,paris-fredericklemaitre-5,0,station,2018,4,9,9,14
100 rue de la Commune de Paris,1,1,0,0,0,,Romainville,romainville-communedeparis-100,5,station,2018,4,4,7,42
8 avenue du Capitaine Tarron,2,2,0,0,0,,VÃ©lizy-Villacoublay,velizyvillacoublay-capitainetarron-8,2,station,2018,4,3,3,24
8 rue de Lyon,0,0,0,0,0,,Paris,paris-lyon-8,3,station,2018,4,9,5,53
21 bis rue Notre-Dame des Victoires,0,0,0,0,0,,Paris,paris-notredamedesvictoires-21,3,station,2018,4,2,16,3
3 Rue Salomon de Rothschild,2,2,0,0,0,,Suresnes,suresnes-salomonderothschild-3,3,station,2018,4,5,5,44
192 rue de la Croix Nivert,5,5,0,0,0,,Paris,paris-croixnivert-192,0,station,2018,4,3,18,50
18 rue Franklin,5,5,0,0,0,,Montreuil,montreuil-franklin-18,0,station,2018,4,4,1,48
111 rue Buzenval,2,2,0,0,0,,Garches,garches-buzenval-111,4,station,2018,4,4,16,52
77 Rue Jean Bleuzen,5,5,0,0,0,,Vanves,vanves-jeanbleuzen-77,1,full_station,2018,4,3,3,56
97 boulevard de Port-Royal,2,2,0,0,0,,Paris,paris-portroyal-97,3,station,2018,4,3,13,3
36 Rue des Saussaies,4,4,0,0,0,,Cachan,cachan-saussaies-36,2,station,2018,4,6,12,23
46 Rue Pernety,2,2,0,0,0,,Paris,paris-pernety-46,1,station,2018,4,7,13,14
11 rue de vincennes,6,6,0,0,0,,Montreuil,montreuil-vincennes-11,1,station,2018,4,9,0,14
